Movie_ID,Year,Name
1,1994,Immortal Beloved
2,1995,Jade
3,1995,Congo
4,2002,Mostly Martha
5,1995,Star Trek: Voyager: Season 1
6,2004,The Chorus
7,1985,Missing in Action 2: The Beginning / Missing in Action 3: Braddock
8,2002,Death to Smoochy
9,2003,X2: X-Men United
10,2004,Taking Lives
11,1959,North by Northwest
12,1998,The Avengers
13,1997,King of the Hill: Season 1
14,1999,Dogma
15,2004,Tremors 4: The Legend Begins
16,2004,The Deal
17,1999,Saturday Night Live: The Best of Dana Carvey
18,1964,The Unsinkable Molly Brown
19,1993,Untamed Heart
20,2002,Rabbit-Proof Fence
21,1962,The Twilight Zone: Vol. 12
22,2003,The Matrix: Revolutions
23,2002,Frida
24,1997,A Thousand Acres
25,2005,The Hitchhiker's Guide to the Galaxy
26,1999,American Beauty
27,1994,Highlander: Season 4
28,1995,Shanghai Triad
29,2005,Unleashed
30,2004,Saturday Night Live: The Best of Will Ferrell 2
31,1997,Todd McFarlane's Spawn
32,1997,Mr. Magoo
33,1972,The Poseidon Adventure
34,2003,Foyle's War: Set 2
35,1998,Dead Man on Campus
36,1980,My Bodyguard
37,1983,Bill Cosby: Himself
38,1995,Serial Mom
39,1996,White Squall
40,1994,Eat Drink Man Woman
41,1964,A Hard Day's Night: Collector's Series
42,2002,I Spy
43,2001,The Tick: The Entire Series
44,2001,Blow Dry
45,2001,Tape
46,1983,Krull
47,1972,Cries and Whispers
48,2001,A Beautiful Mind
49,2002,Ali G Indahouse
50,2001,Dr. Dolittle 2
51,1994,The Professional
52,1993,Leprechaun
53,2001,Wallace & Gromit in Three Amazing Adventures
54,2003,Belly of the Beast
55,1999,The Hunchback of Notre Dame
56,2002,Rose Red
57,1992,Mo' Money
58,1993,Sleepless in Seattle
59,2000,Dungeons & Dragons
60,1966,The Fortune Cookie
61,1988,Talk Radio
62,1993,Grumpy Old Men
63,1999,A Lesson Before Dying
64,1994,Bob Roberts
65,1998,Psycho
66,1998,Dance with Me
67,2004,Eternal Sunshine of the Spotless Mind
68,1991,Regarding Henry
69,2000,Cirque du Soleil: Dralion
70,2002,The Magdalene Sisters
71,2004,Samurai Champloo
72,1999,Mystery Men
73,1993,The Secret Garden
74,1999,Black Adder Back & Forth
75,1975,Little House on the Prairie: Season 2
76,2003,The Looney Tunes Golden Collection: Vol. 1
77,1994,White
78,1992,Wayne's World
79,1993,Mystery Science Theater 3000: The Wild World of Batwoman
80,2005,The Sandlot 2
81,2003,Freaky Friday
82,2001,Justice League: Justice on Trial
83,2002,Solaris
84,2000,The Emperor's New Groove
85,1999,Candyman 3: Day of the Dead
86,1984,The Hitcher
87,1999,The Big Tease
88,1985,D.A.R.Y.L.
89,1961,The Hustler
90,2003,Elf
91,1975,The Wind and the Lion
92,1989,Heathers
93,1998,Polish Wedding
94,1957,The Seventh Seal
95,2002,American Psycho 2
96,1973,Westworld
97,1989,Cousins
98,1984,Birdy
99,1990,Three Men and a Little Lady
100,1983,The Hunger
101,1997,Private Parts
102,1942,The Flying Tigers
103,2002,Dinotopia
104,1988,Action Jackson
105,1989,Mighty Quinn
106,2003,Honey
107,1997,The Ice Storm
108,1998,High Art
109,2004,Family Guy: Freakin' Sweet Collection
110,1955,The Night of the Hunter
111,1996,Hard Eight
112,1981,History of the World: Part 1
113,1977,Pete's Dragon
114,1999,200 Cigarettes
115,1941,How Green Was My Valley
116,1988,My Neighbor Totoro
117,1971,Walkabout
118,1988,Chocolat
119,2003,The Last Samurai
120,2003,Ripley's Game
121,1988,The Big Blue
122,1978,Good Guys Wear Black
123,2001,Southern Comfort
124,1999,Music of the Heart
125,1998,Affliction
126,1997,Live Flesh
127,1972,Aguirre: The Wrath of God
128,1981,Thief
129,1988,Police Academy 5: Assignment - Miami Beach
130,1993,Tales of the City
131,1994,House of the Spirits
132,2000,American Psycho
133,1995,The Tuskegee Airmen
134,2000,Inu-Yasha
135,1996,Mr. Show: Season 2
136,2004,Dawn of the Dead
137,2003,A Man Apart
138,1994,The Mask: Special Edition
139,1998,The Big One
